Timestamp,Email (CHRIST ID) ,NAME,GENDER,Course,What do you prefer?,Which one do you like the most ?,Is your preferred food available ? ,Most Frequently Visited Cafe.,Why do you prefer this cafe ?,Number of Visits,How do you rate the food of the cafe you visited frequently ?,How much do you spend for food everyday ?
10-12-2023 16:59,arun.m@msds.christuniversity.in,Arun M,Male,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,100
10-12-2023 17:02,yeswanth.pg@msds.christuniversity.in,Yeswanth P G,Male,MSc DS,Both,South Indian,Sometimes,Steaming Mugs,All of the above,More than 7,4,200
10-12-2023 17:06,amrutha.paalathara@msds.christuniversity.in,Amrutha Paalathara,Female,MSc DS,Both,North Indian,Sometimes,Cafe Chopsticks,Quantity,Less than 3,3,100
10-12-2023 17:07,trikalagga.saha@msds.christuniversity.in,Trikalagga Saha,Female,MSc DS,Both,North Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,5,200
10-12-2023 17:09,tanisha.agarwal@msds.christuniversity.in,Tanisha Agarwal,Female,MSc DS,Both,North Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,3,200
10-12-2023 17:13,Jeffinshaji.s@msds.christuniversity.in,Jeffin Shaji,Male,MSc DS,Non- Veg,South Indian,No,Cafe Chopsticks,All of the above,Less than 3,3,200
10-12-2023 17:13,britto.fernandes@msds.christuniversity.in,Britto Fernandes,Male,MSc DS,Non- Veg,North Indian,No,Cafe by the Valley,Quality,Less than 3,4,100
10-12-2023 17:14,ubale.mayuri@msds.christuniversity.in,Mayuri Ubale,Female,MSc DS,Veg,North Indian,No,Steaming Mugs,Quality,Less than 3,3,200
10-12-2023 17:16,riya.pc@msds.christuniversity.in,Riya PC,Female,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,3,100
10-12-2023 17:16,hitanshi.gupta@msds.christuniversity.in,Hitanshi Gupta,Female,MSc DS,Veg,North Indian,Sometimes,Steaming Mugs,Quality,Less than 3,3,100
10-12-2023 17:18,harini.sruthi@msds.christuniversity.in,Harini Sruthi T S,Female,MSc DS,Non- Veg,South Indian,No,Cafe Chopsticks,Budget,Less than 3,3,200
10-12-2023 17:20,jaise.george@msds.christuniversity.in,Jaise george,Male,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,50
10-12-2023 17:23,nkit.amartya@bcomfah.christuniversity.,Ankit Raj Amartya,Male,BCOM,Both,North Indian,Sometimes,Steaming Mugs,All of the above,Less than 3,4,200
10-12-2023 17:25,adharsh.jaison@msds.christuniversity.in,Adharsh jaison,Male,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,100
10-12-2023 17:33,sampadha.varanasi@msea.christuniversity.in,Sampadha Varanasi,Female,MSc EA,Both,North Indian,Yes,Steaming Mugs,All of the above,Less than 3,5,200
10-12-2023 17:44,arun.reghunathan@msds.christuniversity.in,Arun Reghunathan,Male,MSc DS,Both,South Indian,No,Cafe Chopsticks,Quantity,Less than 3,2,100
